Author,Text
"
    Truman Capote
  ","
      “Failure is the condiment that gives success its flavor.”
  "
"
    Benjamin Franklin,
  ","
      “Three may keep a secret, if two of them are dead.”
  "
"
    Stephen King,
  ","
      “you can, you should, and if you’re brave enough to start, you will.”
  "
"
    Thomas Mann,
  ","
      “A writer is someone for whom writing is more difficult than it is for other people.”
  "
"
    William Shakespeare,
  ","
      “Though she be but little, she is fierce!”
  "
"
    Madonna
  ","
      “I'm tough, I'm ambitious, and I know exactly what I want. If that makes me a bitch, okay.”
  "
"
    Noël Coward,
  ","
      “It's discouraging to think how many people are shocked by honesty and how few by deceit.”
  "
"
    Markus Zusak,
  ","
      “Maybe everyone can live beyond what they're capable of.”
  "
"
    Neil Gaiman,
  ","
      “She says nothing at all, but simply stares upward into the dark sky and watches, with sad eyes, the slow dance of the infinite stars.”
  "
"
    Dan Brown,
  ","
      “Great minds are always feared by lesser minds.”
  "
"
    Marilyn Monroe
  ","
      “If I'd observed all the rules I'd never have got anywhere.”
  "
"
    Bob Marley
  ","
      “Don't Gain The World & Lose Your Soul, Wisdom Is Better Than Silver Or Gold.”
  "
"
    Mark Twain
  ","
      “If you pick up a starving dog and make him prosperous he will not bite you. This is the principal difference between a dog and man.”
  "
"
    A.A. Milne,
  ","
      “Rivers know this: there is no hurry. We shall get there some day.”
  "
"
    Edward Albee
  ","
      “You're alive only once, as far as we know, and what could be worse than getting to the end of your life and realizing you hadn't lived it?”
  "
"
    Thomas Jefferson
  ","
      “Do you want to know who you are? Don't ask. Act! Action will delineate and define you.”
  "
"
    Golda Meir
  ","
      “Don't be so humble - you are not that great.”
  "
"
    Gilda Radner
  ","
      “I wanted a perfect ending. Now I've learned, the hard way, that some poems don't rhyme, and some stories don't have a clear beginning, middle, and end.”
  "
"
    Suzanne Collins,
  ","
      “Yes, frosting. The final defense of the dying.”
  "
"
    Jay Asher,
  ","
      “No one knows for certain how much impact they have on the lives of other people. Oftentimes, we have no clue. Yet we push it just the same.”
  "
"
    Kurt Vonnegut
  ","
      “Hello babies. Welcome to Earth. It's hot in the summer and cold in the winter. It's round and wet and crowded. On the outside, babies, you've got a hundred years here. There's only one rule that I know of, babies-""God damn it, you've got to be kind.”
  "
"
    John Green,
  ","
      “You gave me a forever within the numbered days, and I'm grateful.”
  "
"
    Dr. Seuss
  ","
      “If things start happening, don't worry, don't stew, just go right along and you'll start happening too.”
  "
"
    Douglas Adams,
  ","
      “Let's think the unthinkable, let's do the undoable. Let us prepare to grapple with the ineffable itself, and see if we may not eff it after all.”
  "
"
    George R.R. Martin,
  ","
      “Winter is coming.”
  "
"
    Dr. Seuss
  ","
      “Today was good. Today was fun. Tomorrow is another one.”
  "
"
    Anne Frank,
  ","
      “I've found that there is always some beauty left -- in nature, sunshine, freedom, in yourself; these can all help you.”
  "
"
    Rick Riordan,
  ","
      “What if it lines up like it did in the Trojan War ... Athena versus Poseidon?"""
"
    Jane Austen,
  ","
      “I could easily forgive his pride, if he had not mortified mine.”
  "
"
    Karen Marie Moning,
  ","
      “One day you will kiss a man you can't breathe without, and find that breath is of little consequence.”
  "
"
    William Shakespeare,
  ","
      “Cowards die many times before their deaths; "
"
    Cassandra Clare
  ","
      “So when the moon's only partly full, you only feel a little wolfy?"" "
"
    Veronica Roth,
  ","
      “You think my first instinct is to protect you. Because you're small, or a girl, or a Stiff. But you're wrong."""
"
    Cassandra Clare,
  ","
      “I could not tell you if I loved you the first moment I saw you, or if it was the second or third or fourth. But I remember the first moment I looked at you walking toward me and realized that somehow the rest of the world seemed to vanish when I was with you.”
  "
"
    Anne Lamott
  ","
      “You will lose someone you can’t live without,and your heart will be badly broken, and the bad news is that you never completely get over the loss of your beloved. But this is also the good news. They live forever in your broken heart that doesn’t seal back up. And you come through. It’s like having a broken leg that never heals perfectly—that still hurts when the weather gets cold, but you learn to dance with the limp.”
  "
"
    Walt Whitman
  ","
      “What is that you express in your eyes? It seems to me more than all the print I have read in my life.”
  "
"
    Charles Bukowski
  ","
      “Real loneliness is not necessarily limited to when you are alone.”
  "
"
    Voltaire
  ","
      “It is forbidden to kill; therefore all murderers are punished unless they kill in large numbers and to the sound of trumpets.”
  "
"
    Rumi
  ","
      “When I am with you, we stay up all night."
"
    Patricia Highsmith
  ","
      “My imagination functions much better when I don't have to speak to people.”
  "
"
    Abraham Lincoln
  ","
      “America will never be destroyed from the outside. If we falter and lose our freedoms, it will be because we destroyed ourselves.”
  "
"
    Jane Goodall
  ","
      “What you do makes a difference, and you have to decide what kind of difference you want to make.”
  "
"
    Douglas Adams,
  ","
      “Time is an illusion. Lunchtime doubly so.”
  "
"
    Jojo Moyes,
  ","
      “You only get one life. It's actually your duty to live it as fully as possible.”
  "
"
    Suzanne Collins,
  ","
      “Peeta, you said at the interview you’d had a crush on me forever. When did forever start?"
"
    Joshua Slocum,
  ","
      “I had already found that it was not good to be alone, and so made companionship with what there was around me, sometimes with the universe and sometimes with my own insignificant self; but my books were always my friends, let fail all else.”
  "
"
    John Green,
  ","
      “I didn’t need you, you idiot. I picked you. And then you picked me back.”
  "
"
    Jalal Ad-Din Rumi
  ","
      “Knock, And He'll open the door"
"
    Charles Bukowski
  ","
      “Some lose all mind and become soul,insane."
"
    Eckhart Tolle
  ","
      “The past has no power over the present moment.”
  "
"
    Anne Lamott
  ","
      “Lighthouses don’t go running all over an island looking for boats to save; they just stand there shining.”
  "
